Installation_Preinstallation,WARNING,"When installing in a potentially explosive environment, make sure that the motor is properly certified."
Installation_Preinstallation,WARNING,You must earth (ground) all electrical equipment.
Installation_Preinstallation,WARNING,"This applies to the pump equipment, the driver, and any monitoring equipment"
Installation_Preinstallation,WARNING,Test the earth (ground) lead to verify that it is connected correctly
Installation_Preinstallation,NOTICE,Supervision by an authorized ITT representative is recommended to ensure proper installation
Installation_Preinstallation,NOTICE,Failure to do so may result in equipment damage or decreased performance
Pump location guidelines,WARNING,Assembled units and their components are heavy.
Pump location guidelines,WARNING,Failure to properly lift and support this equipment can result in serious physical injury and/or equipment damage.
Pump location guidelines,WARNING,Lift equipment only at the specifically identified lifting points
Pump location guidelines,WARNING,"Lifting devices such as eyebolts, slings, and spreaders must be rated, selected, and used for the entire load being lifted."
Pump location guidelines,Guideline,Make sure that the space around the pump is sufficient
Pump location guidelines,Guideline,"If you require lifting equipment such as a hoist or tackle, make sure that there is enough space above the pump."
Pump location guidelines,Guideline,"Protect the unit from weather and water damage due to rain, flooding, and freezing temperatures"
Pump location guidelines,Guideline,Do not install and operate the equipment in closed systems unless the system is constructed with properly-sized safety devices and control devices.
Pump location guidelines,Guideline,Take into consideration the occurrence of unwanted noise and vibration.
Pump location guidelines,Explanation/comment,"This facilitates ventilation, inspection, maintenance, and service."
Pump location guidelines,Explanation/comment,This makes it easier to properly use the lifting equipment and safely remove and relocate the components to a safe location.
Pump location guidelines,Explanation/comment,This is applicable if nothing else is specified
Pump location guidelines,Explanation/comment,Acceptable devices:Pressure relief valves
Pump location guidelines,Explanation/comment,Acceptable devices:Compression tanks
Pump location guidelines,Explanation/comment,Acceptable devices:Pressure controls
Pump location guidelines,Explanation/comment,Acceptable devices:Temperature controls
Pump location guidelines,Explanation/comment,Acceptable devices:Flow controls
Pump location guidelines,Explanation/comment,"If the system does not include these devices, consult the engineer or architect in charge before you operate the pump."
Pump location guidelines,Explanation/comment,The best pump location for noise and vibration absorption is on a concrete floor with subsoil underneath.
Foundation requirements,Requirements,"The foundation must be able to absorb any type of vibration and form a permanent, rigid support for the unit."
Foundation requirements,Requirements,"Provide a flat, substantial concrete foundation in order to prevent strain and distortion when you tighten the foundation bolts."
Foundation requirements,Requirements,Sleeve-type and J-type foundation bolts are most commonly used. Both designs allow movement for the final bolt adjustment.
Foundation requirements,Sleeve-type bolts,1. Baseplate
Foundation requirements,Sleeve-type bolts,2. Shims or wedges
Foundation requirements,Sleeve-type bolts,3. Foundation
Foundation requirements,Sleeve-type bolts,4. Sleeve
Foundation requirements,Sleeve-type bolts,5. Dam
Foundation requirements,Sleeve-type bolts,6. Bolt
Foundation requirements,J-type bolts,1. Baseplate
Foundation requirements,J-type bolts,2. Shims or wedges
Foundation requirements,J-type bolts,3. Foundation
Foundation requirements,J-type bolts,4. Dam
Foundation requirements,J-type bolts,5. Bolt
Baseplate-mounting procedures,Prepare,This procedure assumes you have a basic knowledge of baseplate and foundation design and installation methods.
Baseplate-mounting procedures,Prepare,"Follow industry-standard procedures, such as API RP 686/ PIP REIE 686, or this procedure before you grout the baseplate."
Baseplate-mounting procedures,Prepare,"1. Make sure that all baseplate surfaces that will contact grout are free from contamination such as rust, oil, and grime."
Baseplate-mounting procedures,Prepare,2. Thoroughly clean all baseplate surfaces that will come in contact with grout.
Baseplate-mounting procedures,Prepare,2. Make sure to use a cleaner that will not leave residue.
Baseplate-mounting procedures,NOTICE,"You may need to sandblast the surfaces of a baseplate that come in contact with grout, and then coat those surfaces with a primer that is grout-compatible."
Baseplate-mounting procedures,NOTICE ,Make sure to remove all equipment before sandblasting.
Baseplate-mounting procedures,Prepare,"3. Make sure that all machined surfaces are free from burrs, rust, paint, or any other type of contamination."
Baseplate-mounting procedures,Prepare,"3. If necessary, use a honing stone to remove burrs."
Baseplate-mounting procedures,Prepare,1. Chip the top of the foundation to a minimum of 1.0 in. (25.0 mm) in order to remove porous or low-strength concrete.
Baseplate-mounting procedures,Prepare,"1. If you use a pneumatic hammer, make sure that it does not contaminate the surface with oil or other moisture."
Baseplate-mounting procedures,NOTICE,Do not chip the foundation using heavy tools such as jackhammers.
Baseplate-mounting procedures,NOTICE,This can damage the structural integrity of the foundation.
Baseplate-mounting procedures,Prepare,2. Remove water or debris from the foundation bolt holes or sleeves.
Baseplate-mounting procedures,Prepare,"3. If the baseplate uses sleeve-type bolts, then fill the sleeves with a non-binding, moldable material."
